GCKDGN101A00AO 	 0.383276 	 other biological processes  
GCKDGN102EYCDV 	 0.642984 	 cell organization and biogenesis
GCKDGN102EYCDV 	 0.642984 	 developmental processes  
GCKDGN102EYCDV 	 0.642984 	 other biological processes 
GCKDGN102EYCDV 	 0.642984 	 protein metabolism  
GCKDGN102EYCDV 	 0.642984 	 signal transduction  
GCKDGN102EYDJL 	 0.840587 	 other biological processes 
GCKDGN102EYFRI 	 0.513957 	 cell cycle and proliferation
GCKDGN102EYFRI 	 0.513957 	 cell organization and biogenesis
GCKDGN102EYFRI 	 0.513957 	 other biological processes 
GCKDGN102EYHIC 	 0.724019 	 cell organization and biogenesis
GCKDGN102EYIZF 	 0.241116 	 other metabolic processes 
GCKDGN102EYJ0W 	 0.304541 	 RNA metabolism  
GCKDGN102EYJ0W 	 0.304541 	 cell cycle and proliferation
GCKDGN102EYJ0W 	 0.304541 	 death   
GCKDGN102EYJ0W 	 0.304541 	 developmental processes  
GCKDGN102EYJ0W 	 0.304541 	 other biological processes 
GCKDGN102EYJ0W 	 0.304541 	 other metabolic processes 
GCKDGN102EYJ0W 	 0.304541 	 protein metabolism  
GCKDGN102EYJ0W 	 0.304541 	 signal transduction  
GCKDGN102EYJ0W 	 0.304541 	 stress response  
GCKDGN102EYJZV 	 0 	 DNA metabolism  
GCKDGN102EYJZV 	 0 	 cell cycle and proliferation
GCKDGN102EYLAB 	 0.495988 	 other biological processes 
GCKDGN102EYLAB 	 0.495988 	 other metabolic processes 
GCKDGN102EYLPS 	 1.61004 	 other metabolic processes 
GCKDGN102EYLPS 	 1.61004 	 signal transduction  
GCKDGN102EYLPS 	 1.61004 	 transport   
GCKDGN102EYMUK 	 0.581602 	 other biological processes 
GCKDGN102EYMUK 	 0.581602 	 other metabolic processes 
GCKDGN102EYNQY 	 0.687872 	 protein metabolism  
GCKDGN102EYOL3 	 0.298795 	 other metabolic processes 
GCKDGN102EYOL3 	 0.298795 	 protein metabolism  
GCKDGN102EYOL3 	 0.298795 	 signal transduction  
GCKDGN102EYRJT 	 0.145023 	 other metabolic processes 
GCKDGN102EYSNH 	 0.45121 	 other biological processes 
GCKDGN102EYXV0 	 1.01432 	 developmental processes  
GCKDGN102EYXV0 	 1.01432 	 signal transduction  
GCKDGN102EYY59 	 0.782711 	 RNA metabolism  
GCKDGN102EYY59 	 0.782711 	 other metabolic processes 
GCKDGN102EZ01Q 	 0.651678 	 protein metabolism  
GCKDGN102EZ0DD 	 0.675732 	 RNA metabolism  
GCKDGN102EZ1IE 	 0.323229 	 cell adhesion  
GCKDGN102EZ1IE 	 0.323229 	 cell cycle and proliferation
GCKDGN102EZ1IE 	 0.323229 	 cell organization and biogenesis
GCKDGN102EZ1IE 	 0.323229 	 cell-cell signaling  
GCKDGN102EZ1IE 	 0.323229 	 death   
GCKDGN102EZ1IE 	 0.323229 	 developmental processes  
GCKDGN102EZ1IE 	 0.323229 	 other biological processes 
GCKDGN102EZ1IE 	 0.323229 	 other metabolic processes 
GCKDGN102EZ1IE 	 0.323229 	 signal transduction  
GCKDGN102EZ1IE 	 0.323229 	 stress response  
GCKDGN102EZ1IE 	 0.323229 	 transport   
GCKDGN102EZ4UL 	 0 	 other biological processes 
GCKDGN102EZ666 	 1.35509 	 other metabolic processes 
GCKDGN102EZ666 	 1.35509 	 transport   
GCKDGN102EZ6A9 	 0.140486 	 other biological processes 
GCKDGN102EZ6A9 	 0.140486 	 signal transduction  
GCKDGN102EZ72Y 	 0.988882 	 signal transduction  
GCKDGN102EZ7Z4 	 0.936631 	 cell cycle and proliferation
GCKDGN102EZ7Z4 	 0.936631 	 cell organization and biogenesis
GCKDGN102EZ7Z4 	 0.936631 	 developmental processes  
GCKDGN102EZA13 	 0.894987 	 protein metabolism  
GCKDGN102EZBDB 	 1.19468 	 protein metabolism  
GCKDGN102EZBZE 	 0.502049 	 DNA metabolism  
GCKDGN102EZBZE 	 0.502049 	 cell cycle and proliferation
GCKDGN102EZBZE 	 0.502049 	 cell organization and biogenesis
GCKDGN102EZCXX 	 0.614756 	 cell organization and biogenesis
GCKDGN102EZCXX 	 0.614756 	 cell-cell signaling  
GCKDGN102EZCXX 	 0.614756 	 developmental processes  
GCKDGN102EZCXX 	 0.614756 	 other metabolic processes 
GCKDGN102EZCXX 	 0.614756 	 protein metabolism  
GCKDGN102EZKUW 	 1.12363 	 other biological processes 
GCKDGN102EZLKP 	 1.14459 	 other metabolic processes 
GCKDGN102EZLP3 	 0.787058 	 cell organization and biogenesis
GCKDGN102EZLP3 	 0.787058 	 transport   
GCKDGN102EZML3 	 0.537746 	 RNA metabolism  
GCKDGN102EZML3 	 0.537746 	 protein metabolism  
GCKDGN102EZN6B 	 0.324331 	 RNA metabolism  
GCKDGN102EZN6B 	 0.324331 	 other biological processes 
GCKDGN102EZN6B 	 0.324331 	 protein metabolism  
GCKDGN102EZNT5 	 0.682505 	 other biological processes 
GCKDGN102EZNUY 	 0.280119 	 protein metabolism  
GCKDGN102EZQK0 	 0.974124 	 RNA metabolism  
GCKDGN102EZQK0 	 0.974124 	 death   
GCKDGN102EZQK0 	 0.974124 	 developmental processes  
GCKDGN102EZQK0 	 0.974124 	 other biological processes 
GCKDGN102EZU8Y 	 0 	 protein metabolism  
GCKDGN102EZWQK 	 0.681448 	 RNA metabolism  
GCKDGN102EZYT0 	 0.692794 	 cell organization and biogenesis
GCKDGN102EZYT0 	 0.692794 	 other metabolic processes 
GCKDGN102EZZ3F 	 0.667543 	 protein metabolism  
GCKDGN102EZZPZ 	 0.291873 	 other metabolic processes 
GCKDGN102EZZPZ 	 0.291873 	 protein metabolism  
GCKDGN103F019X 	 0.916837 	 other biological processes 
GCKDGN103F03GR 	 0.574202 	 RNA metabolism  
GCKDGN103F03GR 	 0.574202 	 other biological processes 
GCKDGN103F03GR 	 0.574202 	 protein metabolism  
GCKDGN103F03GR 	 0.574202 	 transport   
GCKDGN103F04U9 	 0.877644 	 other metabolic processes 
GCKDGN103F04U9 	 0.877644 	 transport   
GCKDGN103F05QN 	 0.759842 	 RNA metabolism  
GCKDGN103F05QN 	 0.759842 	 cell organization and biogenesis
GCKDGN103F05QN 	 0.759842 	 developmental processes  
GCKDGN103F05QN 	 0.759842 	 other biological processes 
GCKDGN103F05QN 	 0.759842 	 other metabolic processes 
GCKDGN103F05QN 	 0.759842 	 signal transduction  
GCKDGN103F077E 	 0.693619 	 other metabolic processes 
GCKDGN103F090U 	 0.681856 	 RNA metabolism  
GCKDGN103F09ZJ 	 0.482603 	 cell adhesion  
GCKDGN103F09ZJ 	 0.482603 	 cell cycle and proliferation
GCKDGN103F09ZJ 	 0.482603 	 death   
GCKDGN103F09ZJ 	 0.482603 	 developmental processes  
GCKDGN103F09ZJ 	 0.482603 	 other biological processes 
GCKDGN103F09ZJ 	 0.482603 	 other metabolic processes 
GCKDGN103F09ZJ 	 0.482603 	 signal transduction  
GCKDGN103F09ZJ 	 0.482603 	 stress response  
GCKDGN103F09ZJ 	 0.482603 	 transport   
GCKDGN103F0GII 	 0.160825 	 transport   
GCKDGN103F0HEW 	 0.370503 	 other metabolic processes 
GCKDGN103F0HU0 	 0.311547 	 RNA metabolism  
GCKDGN103F0HU0 	 0.311547 	 cell organization and biogenesis
GCKDGN103F0HU0 	 0.311547 	 developmental processes  
GCKDGN103F0JBT 	 0.827195 	 other metabolic processes 
GCKDGN103F0JBT 	 0.827195 	 protein metabolism  
GCKDGN103F0JBT 	 0.827195 	 transport   
GCKDGN103F0M1J 	 0.882368 	 other biological processes 
GCKDGN103F0M1J 	 0.882368 	 other metabolic processes 
GCKDGN103F0M1J 	 0.882368 	 stress response  
GCKDGN103F0M1J 	 0.882368 	 transport   
GCKDGN103F0O4R 	 0.665671 	 other metabolic processes 
GCKDGN103F0U4Y 	 0.10053 	 cell-cell signaling  
GCKDGN103F0U4Y 	 0.10053 	 other metabolic processes 
GCKDGN103F0W0B 	 0.727128 	 cell organization and biogenesis
GCKDGN103F0W0B 	 0.727128 	 other metabolic processes 
GCKDGN103F0W0B 	 0.727128 	 protein metabolism  
GCKDGN103F0WZ3 	 0.474815 	 other biological processes 
GCKDGN103F0WZ3 	 0.474815 	 other metabolic processes 
GCKDGN103F0Y9Q 	 0.476834 	 signal transduction  
GCKDGN103F0ZUI 	 0.24235 	 RNA metabolism  
GCKDGN103F0ZUI 	 0.24235 	 cell organization and biogenesis
GCKDGN103F0ZUI 	 0.24235 	 other metabolic processes 
GCKDGN103F0ZUI 	 0.24235 	 protein metabolism  
GCKDGN103F0ZUI 	 0.24235 	 signal transduction  
GCKDGN103F104L 	 0.7888 	 transport   
GCKDGN103F10XD 	 0.442208 	 DNA metabolism  
GCKDGN103F10XD 	 0.442208 	 cell cycle and proliferation
GCKDGN103F10XD 	 0.442208 	 cell organization and biogenesis
GCKDGN103F10XD 	 0.442208 	 death   
GCKDGN103F10XD 	 0.442208 	 developmental processes  
GCKDGN103F10XD 	 0.442208 	 other biological processes 
GCKDGN103F10XD 	 0.442208 	 other metabolic processes 
GCKDGN103F10XD 	 0.442208 	 signal transduction  
GCKDGN103F10XD 	 0.442208 	 stress response  
GCKDGN103F11A5 	 0.886605 	 RNA metabolism  
GCKDGN103F11UD 	 0.358753 	 RNA metabolism  
GCKDGN103F11UD 	 0.358753 	 cell organization and biogenesis
GCKDGN103F11UD 	 0.358753 	 other metabolic processes 
GCKDGN103F11UD 	 0.358753 	 transport   
GCKDGN103F1399 	 0.551523 	 other metabolic processes 
GCKDGN103F19NI 	 0.4052 	 other metabolic processes 
GCKDGN103F19NI 	 0.4052 	 transport   
GCKDGN103F1CFP 	 1.03216 	 developmental processes  
GCKDGN103F1CW3 	 0.48113 	 cell organization and biogenesis
GCKDGN103F1CW3 	 0.48113 	 other metabolic processes 
GCKDGN103F1IAF 	 0.60537 	 cell adhesion  
GCKDGN103F1IAF 	 0.60537 	 cell cycle and proliferation
GCKDGN103F1IAF 	 0.60537 	 developmental processes  
GCKDGN103F1IAF 	 0.60537 	 other biological processes 
GCKDGN103F1IAF 	 0.60537 	 protein metabolism  
GCKDGN103F1IAF 	 0.60537 	 signal transduction  
GCKDGN103F1IAF 	 0.60537 	 transport   
GCKDGN103F1JJF 	 1.06542 	 other metabolic processes 
GCKDGN103F1L87 	 0.566183 	 DNA metabolism  
GCKDGN103F1L87 	 0.566183 	 cell cycle and proliferation
GCKDGN103F1L87 	 0.566183 	 other biological processes 
GCKDGN103F1L87 	 0.566183 	 stress response  
GCKDGN103F1LBS 	 0.593028 	 cell cycle and proliferation
GCKDGN103F1LBS 	 0.593028 	 cell organization and biogenesis
GCKDGN103F1LBS 	 0.593028 	 other biological processes 
GCKDGN103F1LBS 	 0.593028 	 other metabolic processes 
GCKDGN103F1LVA 	 1.03172 	 other metabolic processes 
GCKDGN103F1QUQ 	 0.834921 	 cell adhesion  
GCKDGN103F1QUQ 	 0.834921 	 cell organization and biogenesis
GCKDGN103F1QUQ 	 0.834921 	 developmental processes  
GCKDGN103F1QUQ 	 0.834921 	 other biological processes 
GCKDGN103F1QUQ 	 0.834921 	 other metabolic processes 
GCKDGN103F1QUQ 	 0.834921 	 signal transduction  
GCKDGN103F1QUQ 	 0.834921 	 stress response  
GCKDGN103F1QUQ 	 0.834921 	 transport   
GCKDGN103F1QX3 	 0.695443 	 other metabolic processes 
GCKDGN103F1QY6 	 0.357 	 transport   
GCKDGN103F1RY8 	 0.754292 	 RNA metabolism  
GCKDGN103F1RY8 	 0.754292 	 cell cycle and proliferation
GCKDGN103F1RY8 	 0.754292 	 cell organization and biogenesis
GCKDGN103F1RY8 	 0.754292 	 other biological processes 
GCKDGN103F1RY8 	 0.754292 	 other metabolic processes 
GCKDGN103F1RY8 	 0.754292 	 protein metabolism  
GCKDGN103F1RY8 	 0.754292 	 signal transduction  
GCKDGN103F1RY8 	 0.754292 	 stress response  
GCKDGN103F1RY8 	 0.754292 	 transport   
GCKDGN103F1UNC 	 0.301187 	 DNA metabolism  
GCKDGN103F1UNC 	 0.301187 	 stress response  
GCKDGN103F1VLI 	 0.269255 	 other biological processes 
GCKDGN103F1VLI 	 0.269255 	 transport   
GCKDGN103F1YWK 	 0.438824 	 other metabolic processes 
GCKDGN103F1ZLA 	 0.320572 	 RNA metabolism  
GCKDGN103F1ZTM 	 0.7555 	 protein metabolism  
GCKDGN103F21KB 	 0.47459 	 other metabolic processes 
GCKDGN103F253B 	 0.284221 	 RNA metabolism  
GCKDGN103F253B 	 0.284221 	 developmental processes  
GCKDGN103F25EV 	 0.868954 	 RNA metabolism  
GCKDGN103F25EV 	 0.868954 	 other metabolic processes 
GCKDGN103F25EV 	 0.868954 	 protein metabolism  
GCKDGN103F27DU 	 0.910993 	 other biological processes 
GCKDGN103F27DU 	 0.910993 	 signal transduction  
GCKDGN103F27GP 	 0.508789 	 cell cycle and proliferation
GCKDGN103F27GP 	 0.508789 	 cell-cell signaling  
GCKDGN103F27GP 	 0.508789 	 developmental processes  
GCKDGN103F27GP 	 0.508789 	 other biological processes 
GCKDGN103F27GP 	 0.508789 	 other metabolic processes 
GCKDGN103F27GP 	 0.508789 	 signal transduction  
GCKDGN103F27GP 	 0.508789 	 transport   
GCKDGN103F292C 	 0.725659 	 protein metabolism  
GCKDGN103F29P0 	 0.462095 	 RNA metabolism  
GCKDGN103F2B05 	 0.719616 	 cell organization and biogenesis
GCKDGN103F2B05 	 0.719616 	 other biological processes 
GCKDGN103F2B05 	 0.719616 	 other metabolic processes 
GCKDGN103F2BP4 	 0.571694 	 other metabolic processes 
GCKDGN103F2CAZ 	 0.348213 	 developmental processes  
GCKDGN103F2CAZ 	 0.348213 	 other metabolic processes 
GCKDGN103F2EWR 	 0.623128 	 transport   
GCKDGN103F2G7X 	 0.507157 	 cell organization and biogenesis
GCKDGN103F2G7X 	 0.507157 	 protein metabolism  
GCKDGN103F2H67 	 0.211042 	 developmental processes  
GCKDGN103F2ILL 	 0.631021 	 DNA metabolism  
GCKDGN103F2ILL 	 0.631021 	 cell adhesion  
GCKDGN103F2ILL 	 0.631021 	 cell cycle and proliferation
GCKDGN103F2ILL 	 0.631021 	 cell organization and biogenesis
GCKDGN103F2ILL 	 0.631021 	 developmental processes  
GCKDGN103F2ILL 	 0.631021 	 other biological processes 
GCKDGN103F2ILL 	 0.631021 	 other metabolic processes 
GCKDGN103F2ILL 	 0.631021 	 protein metabolism  
GCKDGN103F2ILL 	 0.631021 	 signal transduction  
GCKDGN103F2K75 	 0.581074 	 RNA metabolism  
GCKDGN103F2K75 	 0.581074 	 cell organization and biogenesis
GCKDGN103F2K75 	 0.581074 	 developmental processes  
GCKDGN103F2MH3 	 1.00485 	 RNA metabolism  
GCKDGN103F2MH3 	 1.00485 	 cell organization and biogenesis
GCKDGN103F2MH3 	 1.00485 	 other metabolic processes 
GCKDGN103F2MH3 	 1.00485 	 signal transduction  
GCKDGN103F2NN6 	 0.77085 	 signal transduction  
GCKDGN103F2NS0 	 0.142248 	 DNA metabolism  
GCKDGN103F2P0Z 	 0.735597 	 protein metabolism  
GCKDGN103F2P5Y 	 0.395352 	 protein metabolism  
GCKDGN103F2P5Y 	 0.395352 	 signal transduction  
GCKDGN103F2PUI 	 0.512841 	 other metabolic processes 
GCKDGN103F2PUI 	 0.512841 	 protein metabolism  
GCKDGN103F2QYJ 	 0.86472 	 cell organization and biogenesis
GCKDGN103F2QYJ 	 0.86472 	 cell-cell signaling  
GCKDGN103F2QYJ 	 0.86472 	 developmental processes  
GCKDGN103F2QYJ 	 0.86472 	 other biological processes 
GCKDGN103F2QYJ 	 0.86472 	 other metabolic processes 
GCKDGN103F2QYJ 	 0.86472 	 protein metabolism  
GCKDGN103F2QYJ 	 0.86472 	 transport   
GCKDGN103F2RMY 	 1.08531 	 other biological processes 
GCKDGN103F2RMY 	 1.08531 	 signal transduction  
GCKDGN103F2TJQ 	 0.679682 	 other biological processes 
GCKDGN103F2TJQ 	 0.679682 	 transport   
GCKDGN103F2TYU 	 0.123694 	 developmental processes  
GCKDGN103F2TYU 	 0.123694 	 other metabolic processes 
GCKDGN103F2VW6 	 0.817154 	 other biological processes 
GCKDGN103F2WNX 	 0.496029 	 other metabolic processes 
GCKDGN103F2WS6 	 0.381015 	 RNA metabolism  
GCKDGN103F2WS6 	 0.381015 	 other metabolic processes 
GCKDGN103F2XB4 	 0.184819 	 other metabolic processes 
GCKDGN103F2XSI 	 0.739604 	 other biological processes 
GCKDGN103F2Y38 	 0.58536 	 DNA metabolism  
GCKDGN103F2Z1Z 	 0.391294 	 cell adhesion  
GCKDGN103F2Z1Z 	 0.391294 	 cell organization and biogenesis
GCKDGN103F30VO 	 0.936611 	 other metabolic processes 
GCKDGN103F30VO 	 0.936611 	 protein metabolism  
GCKDGN103F32DG 	 0.546512 	 other metabolic processes 
GCKDGN103F32DG 	 0.546512 	 protein metabolism  
GCKDGN103F33A7 	 0.71138 	 developmental processes  
GCKDGN103F33A7 	 0.71138 	 other biological processes 
GCKDGN103F33A7 	 0.71138 	 transport   
GCKDGN103F347K 	 0.706024 	 protein metabolism  
GCKDGN103F34EP 	 0.860506 	 developmental processes  
GCKDGN103F34EP 	 0.860506 	 protein metabolism  
GCKDGN103F34EP 	 0.860506 	 stress response  
GCKDGN103F34JV 	 1.10974 	 RNA metabolism  
GCKDGN103F34JV 	 1.10974 	 protein metabolism  
GCKDGN103F351R 	 0.663019 	 other metabolic processes 
GCKDGN103F36NP 	 0.648576 	 DNA metabolism  
GCKDGN103F37H5 	 0.657808 	 cell-cell signaling  
GCKDGN103F37H5 	 0.657808 	 other biological processes 
GCKDGN103F37H5 	 0.657808 	 other metabolic processes 
GCKDGN103F37H5 	 0.657808 	 transport   
GCKDGN103F38X2 	 0.705886 	 cell adhesion  
GCKDGN103F39TJ 	 0.564179 	 other metabolic processes 
GCKDGN103F39UL 	 0.196609 	 other metabolic processes 
GCKDGN103F3B6H 	 0.828229 	 other biological processes 
GCKDGN103F3B6H 	 0.828229 	 protein metabolism  
GCKDGN103F3BWE 	 0.690569 	 cell adhesion  
GCKDGN103F3BWE 	 0.690569 	 cell organization and biogenesis
GCKDGN103F3BWE 	 0.690569 	 developmental processes  
GCKDGN103F3BWE 	 0.690569 	 other biological processes 
GCKDGN103F3BWE 	 0.690569 	 signal transduction  
GCKDGN103F3C1E 	 0.899131 	 RNA metabolism  
GCKDGN103F3C1E 	 0.899131 	 other biological processes 
GCKDGN103F3C1E 	 0.899131 	 signal transduction  
GCKDGN103F3C7Y 	 0.793799 	 cell adhesion  
GCKDGN103F3C7Y 	 0.793799 	 cell cycle and proliferation
GCKDGN103F3C7Y 	 0.793799 	 cell organization and biogenesis
GCKDGN103F3C7Y 	 0.793799 	 other biological processes 
GCKDGN103F3C7Y 	 0.793799 	 other metabolic processes 
GCKDGN103F3C7Y 	 0.793799 	 signal transduction  
GCKDGN103F3C7Y 	 0.793799 	 stress response  
GCKDGN103F3C7Y 	 0.793799 	 transport   
GCKDGN103F3C9D 	 0.701709 	 other biological processes 
GCKDGN103F3C9D 	 0.701709 	 stress response  
GCKDGN103F3CPN 	 0.498743 	 other biological processes 
GCKDGN103F3DAO 	 0.111883 	 other biological processes 
GCKDGN103F3DAO 	 0.111883 	 other metabolic processes 
GCKDGN103F3EBW 	 1.13048 	 other metabolic processes 
GCKDGN103F3EBW 	 1.13048 	 protein metabolism  
GCKDGN103F3ED3 	 0.677451 	 other metabolic processes 
GCKDGN103F3FNV 	 0.624005 	 other metabolic processes 
GCKDGN103F3I8Z 	 0.442332 	 other biological processes 
GCKDGN103F3JLB 	 0.997233 	 developmental processes  
GCKDGN103F3JLB 	 0.997233 	 other biological processes 
GCKDGN103F3R7U 	 0.88752 	 protein metabolism  
GCKDGN103F3SEE 	 0.181757 	 other metabolic processes 
GCKDGN103F3TA0 	 0.182913 	 other metabolic processes 
GCKDGN103F3TA0 	 0.182913 	 protein metabolism  
GCKDGN103F3TN2 	 0.526766 	 protein metabolism  
GCKDGN103F3UR8 	 0.887576 	 transport   
GCKDGN103F3XC0 	 0.290614 	 other metabolic processes 
GCKDGN103F3Y4C 	 1.36689 	 other biological processes 
GCKDGN103F3Y5Q 	 0.665331 	 RNA metabolism  
GCKDGN103F3Y5Q 	 0.665331 	 other metabolic processes 
GCKDGN103F3YED 	 1.07866 	 other biological processes 
GCKDGN103F3YED 	 1.07866 	 protein metabolism  
GCKDGN103F3YED 	 1.07866 	 signal transduction  
GCKDGN103F3YXH 	 0.797461 	 other metabolic processes 
GCKDGN103F3YXH 	 0.797461 	 protein metabolism  
GCKDGN103F3ZAV 	 0 	 other metabolic processes 
GCKDGN103F3ZP7 	 0.962006 	 other metabolic processes 
GCKDGN103F40CS 	 0.666318 	 other metabolic processes 
GCKDGN103F40CS 	 0.666318 	 transport   
GCKDGN103F42YA 	 0.390012 	 cell organization and biogenesis
GCKDGN103F42YA 	 0.390012 	 developmental processes  
GCKDGN103F42YA 	 0.390012 	 other biological processes 
GCKDGN103F43FP 	 0.0990724 	 other metabolic processes 
GCKDGN103F43FP 	 0.0990724 	 protein metabolism  
GCKDGN103F43FP 	 0.0990724 	 signal transduction  
GCKDGN103F47SC 	 0.963458 	 cell cycle and proliferation
GCKDGN103F47SC 	 0.963458 	 other biological processes 
GCKDGN103F47SC 	 0.963458 	 other metabolic processes 
GCKDGN103F47SC 	 0.963458 	 protein metabolism  
GCKDGN103F4BK0 	 1.07329 	 other biological processes 
GCKDGN103F4BK0 	 1.07329 	 protein metabolism  
GCKDGN103F4BK0 	 1.07329 	 signal transduction  
GCKDGN103F4GQD 	 0.2283 	 RNA metabolism  
GCKDGN103F4GQD 	 0.2283 	 protein metabolism  
GCKDGN103F4J8T 	 0.510319 	 other biological processes 
GCKDGN103F4KL6 	 0.661708 	 cell cycle and proliferation
GCKDGN103F4KL6 	 0.661708 	 cell organization and biogenesis
GCKDGN103F4KL6 	 0.661708 	 developmental processes  
GCKDGN103F4KL6 	 0.661708 	 other biological processes 
GCKDGN103F4LD0 	 0.257555 	 cell-cell signaling  
GCKDGN103F4LD0 	 0.257555 	 developmental processes  
GCKDGN103F4LD0 	 0.257555 	 other biological processes 
GCKDGN103F4LD0 	 0.257555 	 transport   
GCKDGN103F4MMS 	 1.09159 	 other biological processes 
GCKDGN103F4QXB 	 0.60748 	 protein metabolism  
GCKDGN103F4QXB 	 0.60748 	 transport   
GCKDGN103F4RI2 	 0.841728 	 RNA metabolism  
GCKDGN103F4RI2 	 0.841728 	 other metabolic processes 
GCKDGN103F4SW7 	 0.932214 	 DNA metabolism  
GCKDGN103F4SW7 	 0.932214 	 stress response  
GCKDGN103F4VG0 	 0.375003 	 transport   
GCKDGN103F4VGK 	 0.789481 	 DNA metabolism  
GCKDGN103F4VGK 	 0.789481 	 death   
GCKDGN103F4VGK 	 0.789481 	 other biological processes 
GCKDGN103F4VGK 	 0.789481 	 protein metabolism  
GCKDGN103F4VGK 	 0.789481 	 stress response  
GCKDGN103F4VGK 	 0.789481 	 transport   
GCKDGN103F4XPW 	 0.647067 	 DNA metabolism  
GCKDGN103F4XPW 	 0.647067 	 other metabolic processes 
GCKDGN103F4XPW 	 0.647067 	 stress response  
GCKDGN103F4Y1R 	 0.642608 	 other metabolic processes 
GCKDGN103F4Y7T 	 0.697648 	 cell cycle and proliferation
GCKDGN103F4Y7T 	 0.697648 	 cell organization and biogenesis
GCKDGN103F4Y7T 	 0.697648 	 other biological processes 
GCKDGN103F4Y7T 	 0.697648 	 protein metabolism  
GCKDGN103F4YFF 	 0.728373 	 other metabolic processes 
GCKDGN103F4YLY 	 0.251437 	 other metabolic processes 
GCKDGN103F4YZK 	 0.954516 	 other metabolic processes 
GCKDGN103F52UB 	 0.468754 	 DNA metabolism  
GCKDGN103F52UB 	 0.468754 	 stress response  
GCKDGN103F52Y8 	 0.818954 	 other metabolic processes 
GCKDGN103F53IB 	 0.460432 	 other biological processes 
GCKDGN103F53IB 	 0.460432 	 stress response  
GCKDGN103F543D 	 0.793937 	 protein metabolism  
GCKDGN103F544X 	 0.418611 	 RNA metabolism  
GCKDGN103F544X 	 0.418611 	 protein metabolism  
GCKDGN103F54T3 	 0.899419 	 other biological processes 
GCKDGN103F54T3 	 0.899419 	 signal transduction  
GCKDGN103F54YR 	 0.204224 	 other metabolic processes 
GCKDGN103F54YR 	 0.204224 	 transport   
GCKDGN103F5649 	 0.424981 	 RNA metabolism  
GCKDGN103F5649 	 0.424981 	 developmental processes  
GCKDGN103F5649 	 0.424981 	 other biological processes 
GCKDGN103F5649 	 0.424981 	 other metabolic processes 
GCKDGN103F56OR 	 0.567749 	 other metabolic processes 
GCKDGN103F594W 	 0.182626 	 DNA metabolism  
GCKDGN103F594W 	 0.182626 	 cell organization and biogenesis
GCKDGN103F594W 	 0.182626 	 death   
GCKDGN103F594W 	 0.182626 	 other biological processes 
GCKDGN103F594W 	 0.182626 	 transport   
GCKDGN103F5BP5 	 1.03502 	 other biological processes 
GCKDGN103F5C0M 	 0.43671 	 cell organization and biogenesis
GCKDGN103F5C0M 	 0.43671 	 developmental processes  
GCKDGN103F5C0M 	 0.43671 	 other biological processes 
GCKDGN103F5CHC 	 0.166244 	 stress response  
GCKDGN103F5CWB 	 0.338715 	 protein metabolism  
GCKDGN103F5CWB 	 0.338715 	 signal transduction  
GCKDGN103F5DI1 	 0.479843 	 cell adhesion  
GCKDGN103F5DI1 	 0.479843 	 protein metabolism  
GCKDGN103F5DU7 	 0.731231 	 cell organization and biogenesis
GCKDGN103F5DU7 	 0.731231 	 developmental processes  
GCKDGN103F5DU7 	 0.731231 	 other biological processes 
GCKDGN103F5DU7 	 0.731231 	 other metabolic processes 
GCKDGN103F5F85 	 0.420982 	 DNA metabolism  
GCKDGN103F5F85 	 0.420982 	 other metabolic processes 
GCKDGN103F5F85 	 0.420982 	 stress response  
GCKDGN103F5FSZ 	 0.211801 	 other metabolic processes 
GCKDGN103F5J5C 	 0.427967 	 other metabolic processes 
GCKDGN103F5KYD 	 0.325946 	 cell adhesion  
GCKDGN103F5M8C 	 0.507314 	 other biological processes 
GCKDGN103F5M8C 	 0.507314 	 other metabolic processes 
GCKDGN103F5MHV 	 1.00115 	 cell-cell signaling  
GCKDGN103F5MHV 	 1.00115 	 stress response  
GCKDGN103F5MHV 	 1.00115 	 transport   
GCKDGN103F5NI9 	 0.472138 	 cell cycle and proliferation
GCKDGN103F5NI9 	 0.472138 	 cell organization and biogenesis
GCKDGN103F5NI9 	 0.472138 	 other biological processes 
GCKDGN103F5NI9 	 0.472138 	 other metabolic processes 
GCKDGN103F5NI9 	 0.472138 	 protein metabolism  
GCKDGN103F5NJO 	 1.09738 	 DNA metabolism  
GCKDGN103F5NJO 	 1.09738 	 cell cycle and proliferation
GCKDGN103F5NJO 	 1.09738 	 cell organization and biogenesis
GCKDGN103F5NJO 	 1.09738 	 other biological processes 
GCKDGN103F5Q91 	 0.846414 	 protein metabolism  
GCKDGN103F5Q91 	 0.846414 	 stress response  
GCKDGN103F5QKA 	 0.800836 	 cell adhesion  
GCKDGN103F5QKA 	 0.800836 	 cell organization and biogenesis
GCKDGN103F5QKA 	 0.800836 	 other metabolic processes 
GCKDGN103F5QKA 	 0.800836 	 signal transduction  
GCKDGN103F5S8R 	 0.978021 	 cell organization and biogenesis
GCKDGN103F5UG7 	 0.433296 	 DNA metabolism  
GCKDGN103F5WND 	 0.937671 	 death   
GCKDGN103F5WND 	 0.937671 	 signal transduction  
GCKDGN103F5Y7P 	 0.685379 	 other metabolic processes 
GCKDGN103F5Z6M 	 0.873023 	 stress response  
GCKDGN103F5Z6M 	 0.873023 	 transport   
GCKDGN103F608K 	 0.291885 	 RNA metabolism  
GCKDGN103F61EM 	 1.14849 	 signal transduction  
