gi|379072747|gb|JR970416.1| 	 0.557002	 transport
gi|379080478|gb|JR978147.1| 	 0.1415	 transport
gi|379080479|gb|JR978148.1| 	 0.0635333	 cell adhesion
gi|379080481|gb|JR978150.1| 	 0.1653	 signal transduction
gi|379080481|gb|JR978150.1| 	 0.1653	 transport
gi|379080483|gb|JR978152.1| 	 0.017039	 signal transduction
gi|379080485|gb|JR978154.1| 	 5.75764	 RNA metabolism
gi|379080485|gb|JR978154.1| 	 5.75764	 death
gi|379080485|gb|JR978154.1| 	 5.75764	 other metabolic processes
gi|379080487|gb|JR978156.1| 	 5.09326	 other metabolic processes
gi|379080487|gb|JR978156.1| 	 5.09326	 protein metabolism
gi|379080487|gb|JR978156.1| 	 5.09326	 signal transduction
gi|379080489|gb|JR978158.1| 	 5.47888	 RNA metabolism
gi|379080489|gb|JR978158.1| 	 5.47888	 other biological processes
gi|379080489|gb|JR978158.1| 	 5.47888	 other metabolic processes
gi|379080490|gb|JR978159.1| 	 4.3487	 cell organization and biogenesis
gi|379080491|gb|JR978160.1| 	 0.886143	 transport
gi|379080494|gb|JR978163.1| 	 0.471333	 RNA metabolism
gi|379080495|gb|JR978164.1| 	 0.871648	 other biological processes
gi|379080495|gb|JR978164.1| 	 0.871648	 other metabolic processes
gi|379080496|gb|JR978165.1| 	 0.141269	 RNA metabolism
gi|379080496|gb|JR978165.1| 	 0.141269	 other metabolic processes
gi|379080497|gb|JR978166.1| 	 1.25677	 RNA metabolism
gi|379080497|gb|JR978166.1| 	 1.25677	 developmental processes
gi|379080498|gb|JR978167.1| 	 0.179244	 cell organization and biogenesis
gi|379080498|gb|JR978167.1| 	 0.179244	 developmental processes
gi|379080498|gb|JR978167.1| 	 0.179244	 transport
gi|379080499|gb|JR978168.1| 	 0.25538	 cell organization and biogenesis
gi|379080499|gb|JR978168.1| 	 0.25538	 other biological processes
gi|379080499|gb|JR978168.1| 	 0.25538	 protein metabolism
gi|379080499|gb|JR978168.1| 	 0.25538	 transport
gi|379080500|gb|JR978169.1| 	 1.9223	 cell adhesion
gi|379080500|gb|JR978169.1| 	 1.9223	 transport
gi|379080502|gb|JR978171.1| 	 0.940225	 other biological processes
gi|379080503|gb|JR978172.1| 	 1.39002	 other metabolic processes
gi|379080503|gb|JR978172.1| 	 1.39002	 transport
gi|379080504|gb|JR978173.1| 	 2.13463	 developmental processes
gi|379080504|gb|JR978173.1| 	 2.13463	 other metabolic processes
gi|379080505|gb|JR978174.1| 	 2.421	 DNA metabolism
gi|379080505|gb|JR978174.1| 	 2.421	 RNA metabolism
gi|379080505|gb|JR978174.1| 	 2.421	 cell organization and biogenesis
gi|379080505|gb|JR978174.1| 	 2.421	 protein metabolism
gi|379080506|gb|JR978175.1| 	 0.591757	 other biological processes
gi|379080506|gb|JR978175.1| 	 0.591757	 signal transduction
gi|379080507|gb|JR978176.1| 	 1.34414	 transport
gi|379080508|gb|JR978177.1| 	 0.526776	 other biological processes
gi|379080509|gb|JR978178.1| 	 2.09024	 other biological processes
gi|379080512|gb|JR978181.1| 	 0.794319	 RNA metabolism
gi|379080514|gb|JR978183.1| 	 0.478488	 death
gi|379080515|gb|JR978184.1| 	 0.167373	 transport
gi|379080518|gb|JR978187.1| 	 0.0195721	 cell adhesion
gi|379080518|gb|JR978187.1| 	 0.0195721	 developmental processes
gi|379080518|gb|JR978187.1| 	 0.0195721	 signal transduction
gi|379080520|gb|JR978189.1| 	 0.157033	 RNA metabolism
gi|379080520|gb|JR978189.1| 	 0.157033	 developmental processes
gi|379080521|gb|JR978190.1| 	 0.125156	 other metabolic processes
gi|379080522|gb|JR978191.1| 	 0.333874	 RNA metabolism
gi|379080522|gb|JR978191.1| 	 0.333874	 developmental processes
gi|379080523|gb|JR978192.1| 	 0.167073	 RNA metabolism
gi|379080523|gb|JR978192.1| 	 0.167073	 death
gi|379080523|gb|JR978192.1| 	 0.167073	 other biological processes
gi|379080523|gb|JR978192.1| 	 0.167073	 protein metabolism
gi|379080523|gb|JR978192.1| 	 0.167073	 signal transduction
gi|379080524|gb|JR978193.1| 	 0.168523	 other metabolic processes
gi|379080525|gb|JR978194.1| 	 0.170454	 cell adhesion
gi|379080526|gb|JR978195.1| 	 0.135705	 protein metabolism
gi|379080527|gb|JR978196.1| 	 0.626677	 RNA metabolism
gi|379080527|gb|JR978196.1| 	 0.626677	 other biological processes
gi|379080528|gb|JR978197.1| 	 0.710957	 RNA metabolism
gi|379080528|gb|JR978197.1| 	 0.710957	 other biological processes
gi|379080528|gb|JR978197.1| 	 0.710957	 other metabolic processes
gi|379080528|gb|JR978197.1| 	 0.710957	 protein metabolism
gi|379080529|gb|JR978198.1| 	 2.38296	 other biological processes
gi|379080530|gb|JR978199.1| 	 0.934382	 other biological processes
gi|379080530|gb|JR978199.1| 	 0.934382	 stress response
gi|379080530|gb|JR978199.1| 	 0.934382	 transport
gi|379080534|gb|JR978203.1| 	 0.794155	 cell cycle and proliferation
gi|379080534|gb|JR978203.1| 	 0.794155	 cell organization and biogenesis
gi|379080534|gb|JR978203.1| 	 0.794155	 cell-cell signaling
gi|379080534|gb|JR978203.1| 	 0.794155	 death
gi|379080534|gb|JR978203.1| 	 0.794155	 developmental processes
gi|379080534|gb|JR978203.1| 	 0.794155	 other biological processes
gi|379080534|gb|JR978203.1| 	 0.794155	 other metabolic processes
gi|379080534|gb|JR978203.1| 	 0.794155	 signal transduction
gi|379080534|gb|JR978203.1| 	 0.794155	 stress response
gi|379080542|gb|JR978211.1| 	 3.29437	 RNA metabolism
gi|379080542|gb|JR978211.1| 	 3.29437	 cell cycle and proliferation
gi|379080542|gb|JR978211.1| 	 3.29437	 cell organization and biogenesis
gi|379080542|gb|JR978211.1| 	 3.29437	 cell-cell signaling
gi|379080542|gb|JR978211.1| 	 3.29437	 death
gi|379080542|gb|JR978211.1| 	 3.29437	 developmental processes
gi|379080542|gb|JR978211.1| 	 3.29437	 other biological processes
gi|379080542|gb|JR978211.1| 	 3.29437	 other metabolic processes
gi|379080542|gb|JR978211.1| 	 3.29437	 protein metabolism
gi|379080542|gb|JR978211.1| 	 3.29437	 signal transduction
gi|379080542|gb|JR978211.1| 	 3.29437	 transport
gi|379080543|gb|JR978212.1| 	 0.0237144	 RNA metabolism
gi|379080543|gb|JR978212.1| 	 0.0237144	 cell organization and biogenesis
gi|379080544|gb|JR978213.1| 	 1.53769	 other metabolic processes
gi|379080544|gb|JR978213.1| 	 1.53769	 stress response
gi|379080547|gb|JR978216.1| 	 0.197355	 other biological processes
gi|379080548|gb|JR978217.1| 	 0.192582	 other metabolic processes
gi|379080548|gb|JR978217.1| 	 0.192582	 stress response
gi|379080548|gb|JR978217.1| 	 0.192582	 transport
gi|379080549|gb|JR978218.1| 	 8.44406	 cell organization and biogenesis
gi|379080549|gb|JR978218.1| 	 8.44406	 other biological processes
gi|379080549|gb|JR978218.1| 	 8.44406	 transport
gi|379080550|gb|JR978219.1| 	 0.0322581	 protein metabolism
gi|379080551|gb|JR978220.1| 	 0.0550662	 RNA metabolism
gi|379080551|gb|JR978220.1| 	 0.0550662	 cell cycle and proliferation
gi|379080551|gb|JR978220.1| 	 0.0550662	 cell organization and biogenesis
gi|379080551|gb|JR978220.1| 	 0.0550662	 other metabolic processes
gi|379080551|gb|JR978220.1| 	 0.0550662	 protein metabolism
gi|379080551|gb|JR978220.1| 	 0.0550662	 signal transduction
gi|379080551|gb|JR978220.1| 	 0.0550662	 stress response
gi|379080553|gb|JR978222.1| 	 1.09935	 RNA metabolism
gi|379080553|gb|JR978222.1| 	 1.09935	 death
gi|379080553|gb|JR978222.1| 	 1.09935	 other biological processes
gi|379080555|gb|JR978224.1| 	 1.73565	 other biological processes
gi|379080555|gb|JR978224.1| 	 1.73565	 other metabolic processes
gi|379080560|gb|JR978229.1| 	 0.0499775	 RNA metabolism
gi|379080563|gb|JR978232.1| 	 1.03414	 death
gi|379080563|gb|JR978232.1| 	 1.03414	 developmental processes
gi|379080563|gb|JR978232.1| 	 1.03414	 other biological processes
gi|379080563|gb|JR978232.1| 	 1.03414	 protein metabolism
gi|379080563|gb|JR978232.1| 	 1.03414	 signal transduction
gi|379080565|gb|JR978234.1| 	 3.24305	 cell adhesion
gi|379080565|gb|JR978234.1| 	 3.24305	 signal transduction
gi|379080569|gb|JR978238.1| 	 0.0341637	 signal transduction
gi|379080570|gb|JR978239.1| 	 0.205087	 DNA metabolism
gi|379080570|gb|JR978239.1| 	 0.205087	 stress response
gi|379080573|gb|JR978242.1| 	 0.147173	 RNA metabolism
gi|379080573|gb|JR978242.1| 	 0.147173	 developmental processes
gi|379080574|gb|JR978243.1| 	 0.119586	 other biological processes
gi|379080574|gb|JR978243.1| 	 0.119586	 stress response
gi|379080574|gb|JR978243.1| 	 0.119586	 transport
gi|379080580|gb|JR978249.1| 	 0.200216	 other metabolic processes
gi|379080581|gb|JR978250.1| 	 0.14259	 protein metabolism
gi|379080585|gb|JR978254.1| 	 2.1745	 cell cycle and proliferation
gi|379080585|gb|JR978254.1| 	 2.1745	 other metabolic processes
gi|379080585|gb|JR978254.1| 	 2.1745	 protein metabolism
gi|379080598|gb|JR978267.1| 	 1.39044	 RNA metabolism
gi|379080598|gb|JR978267.1| 	 1.39044	 cell organization and biogenesis
gi|379080598|gb|JR978267.1| 	 1.39044	 death
gi|379080598|gb|JR978267.1| 	 1.39044	 other biological processes
gi|379080598|gb|JR978267.1| 	 1.39044	 other metabolic processes
gi|379080598|gb|JR978267.1| 	 1.39044	 protein metabolism
gi|379080598|gb|JR978267.1| 	 1.39044	 signal transduction
gi|379080598|gb|JR978267.1| 	 1.39044	 stress response
gi|379080600|gb|JR978269.1| 	 5.30013	 other biological processes
gi|379080600|gb|JR978269.1| 	 5.30013	 other metabolic processes
gi|379080600|gb|JR978269.1| 	 5.30013	 transport
gi|379080601|gb|JR978270.1| 	 3.06	 DNA metabolism
gi|379080601|gb|JR978270.1| 	 3.06	 RNA metabolism
gi|379080601|gb|JR978270.1| 	 3.06	 protein metabolism
gi|379080601|gb|JR978270.1| 	 3.06	 stress response
gi|379080602|gb|JR978271.1| 	 5.61667	 protein metabolism
gi|379080604|gb|JR978273.1| 	 1.56315	 death
gi|379080604|gb|JR978273.1| 	 1.56315	 other biological processes
gi|379080604|gb|JR978273.1| 	 1.56315	 protein metabolism
gi|379080604|gb|JR978273.1| 	 1.56315	 stress response
gi|379080607|gb|JR978276.1| 	 3.01512	 transport
gi|379080610|gb|JR978279.1| 	 0.516802	 other biological processes
gi|379080611|gb|JR978280.1| 	 0.235131	 other metabolic processes
gi|379080612|gb|JR978281.1| 	 1.12977	 RNA metabolism
gi|379080612|gb|JR978281.1| 	 1.12977	 other biological processes
gi|379080612|gb|JR978281.1| 	 1.12977	 signal transduction
gi|379080614|gb|JR978283.1| 	 0.0508407	 protein metabolism
gi|379080615|gb|JR978284.1| 	 0.080316	 other metabolic processes
gi|379080617|gb|JR978286.1| 	 0.124401	 signal transduction
gi|379080617|gb|JR978286.1| 	 0.124401	 stress response
gi|379080619|gb|JR978288.1| 	 0.225853	 RNA metabolism
gi|379080620|gb|JR978289.1| 	 0.125315	 other metabolic processes
gi|379080620|gb|JR978289.1| 	 0.125315	 transport
gi|379080634|gb|JR978303.1| 	 0.263378	 other biological processes
gi|379080636|gb|JR978305.1| 	 0.0857332	 other metabolic processes
gi|379080636|gb|JR978305.1| 	 0.0857332	 stress response
gi|379080637|gb|JR978306.1| 	 1.76664	 protein metabolism
gi|379080638|gb|JR978307.1| 	 0.455205	 cell organization and biogenesis
gi|379080638|gb|JR978307.1| 	 0.455205	 transport
gi|379080640|gb|JR978309.1| 	 0.369985	 other metabolic processes
gi|379080642|gb|JR978311.1| 	 0.629048	 other metabolic processes
gi|379080645|gb|JR978314.1| 	 0.301834	 other metabolic processes
gi|379080647|gb|JR978316.1| 	 0.137509	 cell adhesion
gi|379080649|gb|JR978318.1| 	 1.64803	 other metabolic processes
gi|379080654|gb|JR978323.1| 	 1.32003	 death
gi|379080654|gb|JR978323.1| 	 1.32003	 developmental processes
gi|379080654|gb|JR978323.1| 	 1.32003	 other biological processes
gi|379080654|gb|JR978323.1| 	 1.32003	 other metabolic processes
gi|379080654|gb|JR978323.1| 	 1.32003	 protein metabolism
gi|379080654|gb|JR978323.1| 	 1.32003	 signal transduction
gi|379080654|gb|JR978323.1| 	 1.32003	 stress response
gi|379080659|gb|JR978328.1| 	 0.524332	 RNA metabolism
gi|379080660|gb|JR978329.1| 	 0.46038	 other biological processes
gi|379080660|gb|JR978329.1| 	 0.46038	 transport
gi|379080666|gb|JR978335.1| 	 0.383104	 death
gi|379080667|gb|JR978336.1| 	 0.0588342	 other metabolic processes
gi|379080668|gb|JR978337.1| 	 1.02287	 death
gi|379080669|gb|JR978338.1| 	 0.591309	 other metabolic processes
gi|379080671|gb|JR978340.1| 	 0.269381	 other metabolic processes
gi|379080673|gb|JR978342.1| 	 0.508931	 other biological processes
gi|379080674|gb|JR978343.1| 	 0.239658	 other biological processes
gi|379080674|gb|JR978343.1| 	 0.239658	 transport
gi|379080675|gb|JR978344.1| 	 1.71786	 transport
gi|379080676|gb|JR978345.1| 	 2.27506	 other biological processes
gi|379080677|gb|JR978346.1| 	 1.43341	 cell cycle and proliferation
gi|379080677|gb|JR978346.1| 	 1.43341	 cell-cell signaling
gi|379080677|gb|JR978346.1| 	 1.43341	 developmental processes
gi|379080677|gb|JR978346.1| 	 1.43341	 other biological processes
gi|379080677|gb|JR978346.1| 	 1.43341	 other metabolic processes
gi|379080677|gb|JR978346.1| 	 1.43341	 signal transduction
gi|379080677|gb|JR978346.1| 	 1.43341	 transport
gi|379080678|gb|JR978347.1| 	 0.775398	 RNA metabolism
gi|379080678|gb|JR978347.1| 	 0.775398	 protein metabolism
gi|379080679|gb|JR978348.1| 	 0.513316	 other metabolic processes
gi|379080681|gb|JR978350.1| 	 0.895451	 cell cycle and proliferation
gi|379080681|gb|JR978350.1| 	 0.895451	 cell organization and biogenesis
gi|379080682|gb|JR978351.1| 	 0.161427	 cell cycle and proliferation
gi|379080682|gb|JR978351.1| 	 0.161427	 cell organization and biogenesis
gi|379080682|gb|JR978351.1| 	 0.161427	 developmental processes
gi|379080682|gb|JR978351.1| 	 0.161427	 other biological processes
gi|379080682|gb|JR978351.1| 	 0.161427	 other metabolic processes
gi|379080682|gb|JR978351.1| 	 0.161427	 protein metabolism
gi|379080682|gb|JR978351.1| 	 0.161427	 signal transduction
gi|379080682|gb|JR978351.1| 	 0.161427	 stress response
gi|379080682|gb|JR978351.1| 	 0.161427	 transport
gi|379080683|gb|JR978352.1| 	 0.501264	 RNA metabolism
gi|379080683|gb|JR978352.1| 	 0.501264	 cell-cell signaling
gi|379080683|gb|JR978352.1| 	 0.501264	 death
gi|379080683|gb|JR978352.1| 	 0.501264	 signal transduction
gi|379080683|gb|JR978352.1| 	 0.501264	 transport
gi|379080685|gb|JR978354.1| 	 1.34567	 RNA metabolism
gi|379080685|gb|JR978354.1| 	 1.34567	 cell cycle and proliferation
gi|379080685|gb|JR978354.1| 	 1.34567	 cell organization and biogenesis
gi|379080685|gb|JR978354.1| 	 1.34567	 cell-cell signaling
gi|379080685|gb|JR978354.1| 	 1.34567	 death
gi|379080685|gb|JR978354.1| 	 1.34567	 developmental processes
gi|379080685|gb|JR978354.1| 	 1.34567	 other biological processes
gi|379080685|gb|JR978354.1| 	 1.34567	 other metabolic processes
gi|379080685|gb|JR978354.1| 	 1.34567	 protein metabolism
gi|379080685|gb|JR978354.1| 	 1.34567	 signal transduction
gi|379080685|gb|JR978354.1| 	 1.34567	 stress response
gi|379080686|gb|JR978355.1| 	 0.428532	 RNA metabolism
gi|379080686|gb|JR978355.1| 	 0.428532	 developmental processes
gi|379080687|gb|JR978356.1| 	 0.156138	 transport
gi|379080688|gb|JR978357.1| 	 0.273323	 other biological processes
gi|379080689|gb|JR978358.1| 	 0.303286	 cell organization and biogenesis
gi|379080689|gb|JR978358.1| 	 0.303286	 developmental processes
gi|379080689|gb|JR978358.1| 	 0.303286	 other biological processes
gi|379080689|gb|JR978358.1| 	 0.303286	 other metabolic processes
gi|379080691|gb|JR978360.1| 	 0.0547191	 other biological processes
gi|379080691|gb|JR978360.1| 	 0.0547191	 transport
gi|379080693|gb|JR978362.1| 	 0.310654	 signal transduction
gi|379080694|gb|JR978363.1| 	 0.847413	 developmental processes
gi|379080694|gb|JR978363.1| 	 0.847413	 other biological processes
gi|379080694|gb|JR978363.1| 	 0.847413	 signal transduction
gi|379080694|gb|JR978363.1| 	 0.847413	 transport
gi|379080695|gb|JR978364.1| 	 0.14679	 protein metabolism
gi|379080696|gb|JR978365.1| 	 0.0857371	 other biological processes
gi|379080697|gb|JR978366.1| 	 0.400552	 DNA metabolism
gi|379080697|gb|JR978366.1| 	 0.400552	 cell cycle and proliferation
gi|379080697|gb|JR978366.1| 	 0.400552	 cell organization and biogenesis
gi|379080697|gb|JR978366.1| 	 0.400552	 death
gi|379080697|gb|JR978366.1| 	 0.400552	 developmental processes
gi|379080697|gb|JR978366.1| 	 0.400552	 other biological processes
gi|379080697|gb|JR978366.1| 	 0.400552	 other metabolic processes
gi|379080697|gb|JR978366.1| 	 0.400552	 protein metabolism
gi|379080697|gb|JR978366.1| 	 0.400552	 signal transduction
gi|379080697|gb|JR978366.1| 	 0.400552	 stress response
gi|379080698|gb|JR978367.1| 	 0.0516286	 DNA metabolism
gi|379080698|gb|JR978367.1| 	 0.0516286	 RNA metabolism
gi|379080698|gb|JR978367.1| 	 0.0516286	 other biological processes
gi|379080698|gb|JR978367.1| 	 0.0516286	 protein metabolism
gi|379080698|gb|JR978367.1| 	 0.0516286	 stress response
gi|379080699|gb|JR978368.1| 	 0.623079	 signal transduction
gi|379080699|gb|JR978368.1| 	 0.623079	 transport
gi|379080702|gb|JR978371.1| 	 0.370025	 RNA metabolism
gi|379080702|gb|JR978371.1| 	 0.370025	 other metabolic processes
gi|379080702|gb|JR978371.1| 	 0.370025	 protein metabolism
gi|379080703|gb|JR978372.1| 	 0.210599	 cell cycle and proliferation
gi|379080703|gb|JR978372.1| 	 0.210599	 cell organization and biogenesis
gi|379080703|gb|JR978372.1| 	 0.210599	 death
gi|379080703|gb|JR978372.1| 	 0.210599	 developmental processes
gi|379080703|gb|JR978372.1| 	 0.210599	 other biological processes
gi|379080703|gb|JR978372.1| 	 0.210599	 protein metabolism
gi|379080703|gb|JR978372.1| 	 0.210599	 signal transduction
gi|379080703|gb|JR978372.1| 	 0.210599	 stress response
gi|379080703|gb|JR978372.1| 	 0.210599	 transport
gi|379080713|gb|JR978382.1| 	 0.540835	 cell organization and biogenesis
gi|379080713|gb|JR978382.1| 	 0.540835	 other biological processes
gi|379080713|gb|JR978382.1| 	 0.540835	 transport
gi|379080715|gb|JR978384.1| 	 2.66858	 other metabolic processes
gi|379080720|gb|JR978389.1| 	 0.445314	 protein metabolism
gi|379080723|gb|JR978392.1| 	 0.671071	 cell organization and biogenesis
gi|379080723|gb|JR978392.1| 	 0.671071	 other biological processes
gi|379080723|gb|JR978392.1| 	 0.671071	 stress response
gi|379080723|gb|JR978392.1| 	 0.671071	 transport
gi|379080753|gb|JR978422.1| 	 1.16074	 DNA metabolism
gi|379080753|gb|JR978422.1| 	 1.16074	 cell organization and biogenesis
gi|379080753|gb|JR978422.1| 	 1.16074	 cell-cell signaling
gi|379080753|gb|JR978422.1| 	 1.16074	 death
gi|379080753|gb|JR978422.1| 	 1.16074	 other biological processes
gi|379080753|gb|JR978422.1| 	 1.16074	 other metabolic processes
gi|379080753|gb|JR978422.1| 	 1.16074	 protein metabolism
gi|379080753|gb|JR978422.1| 	 1.16074	 transport
gi|379080754|gb|JR978423.1| 	 0.603876	 developmental processes
gi|379080754|gb|JR978423.1| 	 0.603876	 signal transduction
gi|379080756|gb|JR978425.1| 	 0.505419	 other metabolic processes
gi|379080756|gb|JR978425.1| 	 0.505419	 transport
gi|379080757|gb|JR978426.1| 	 0.421429	 other metabolic processes
gi|379080758|gb|JR978427.1| 	 0.363462	 RNA metabolism
gi|379080758|gb|JR978427.1| 	 0.363462	 cell organization and biogenesis
gi|379080759|gb|JR978428.1| 	 0.345681	 other biological processes
gi|379080767|gb|JR978436.1| 	 2.23414	 cell adhesion
gi|379080767|gb|JR978436.1| 	 2.23414	 stress response
gi|379080773|gb|JR978442.1| 	 0.115334	 transport
gi|379080775|gb|JR978444.1| 	 0.641999	 protein metabolism
gi|379080778|gb|JR978447.1| 	 0.332994	 cell cycle and proliferation
gi|379080778|gb|JR978447.1| 	 0.332994	 cell organization and biogenesis
gi|379080778|gb|JR978447.1| 	 0.332994	 developmental processes
gi|379080778|gb|JR978447.1| 	 0.332994	 other biological processes
gi|379080778|gb|JR978447.1| 	 0.332994	 other metabolic processes
gi|379080778|gb|JR978447.1| 	 0.332994	 protein metabolism
gi|379080778|gb|JR978447.1| 	 0.332994	 signal transduction
gi|379080791|gb|JR978460.1| 	 0.149845	 other metabolic processes
gi|379080791|gb|JR978460.1| 	 0.149845	 protein metabolism
gi|379080794|gb|JR978463.1| 	 1.16013	 other metabolic processes
gi|379080794|gb|JR978463.1| 	 1.16013	 signal transduction
gi|379080794|gb|JR978463.1| 	 1.16013	 transport
gi|379080802|gb|JR978471.1| 	 0.85448	 other biological processes
gi|379080802|gb|JR978471.1| 	 0.85448	 other metabolic processes
gi|379080811|gb|JR978480.1| 	 0.784005	 signal transduction
gi|379080811|gb|JR978480.1| 	 0.784005	 transport
gi|379080813|gb|JR978482.1| 	 0.412427	 other biological processes
gi|379080816|gb|JR978485.1| 	 0.820931	 DNA metabolism
gi|379080819|gb|JR978488.1| 	 0.0497473	 cell cycle and proliferation
gi|379080819|gb|JR978488.1| 	 0.0497473	 cell organization and biogenesis
gi|379080819|gb|JR978488.1| 	 0.0497473	 other biological processes
gi|379080819|gb|JR978488.1| 	 0.0497473	 signal transduction
gi|379080824|gb|JR978493.1| 	 0.309313	 other metabolic processes
gi|379080837|gb|JR978506.1| 	 0.0107321	 other metabolic processes
gi|379080838|gb|JR978507.1| 	 3.38051	 other biological processes
gi|379080838|gb|JR978507.1| 	 3.38051	 protein metabolism
gi|379080838|gb|JR978507.1| 	 3.38051	 signal transduction
gi|379080842|gb|JR978511.1| 	 2.23729	 DNA metabolism
gi|379080842|gb|JR978511.1| 	 2.23729	 cell cycle and proliferation
gi|379080842|gb|JR978511.1| 	 2.23729	 cell organization and biogenesis
gi|379080842|gb|JR978511.1| 	 2.23729	 death
gi|379080842|gb|JR978511.1| 	 2.23729	 developmental processes
gi|379080842|gb|JR978511.1| 	 2.23729	 other biological processes
gi|379080842|gb|JR978511.1| 	 2.23729	 other metabolic processes
gi|379080842|gb|JR978511.1| 	 2.23729	 protein metabolism
gi|379080842|gb|JR978511.1| 	 2.23729	 signal transduction
gi|379080842|gb|JR978511.1| 	 2.23729	 stress response
gi|379080845|gb|JR978514.1| 	 1.26234	 transport
gi|379080847|gb|JR978516.1| 	 0.423495	 DNA metabolism
gi|379080847|gb|JR978516.1| 	 0.423495	 protein metabolism
gi|379080848|gb|JR978517.1| 	 0.947976	 death
gi|379080848|gb|JR978517.1| 	 0.947976	 developmental processes
gi|379080848|gb|JR978517.1| 	 0.947976	 other biological processes
gi|379080848|gb|JR978517.1| 	 0.947976	 other metabolic processes
gi|379080848|gb|JR978517.1| 	 0.947976	 protein metabolism
gi|379080848|gb|JR978517.1| 	 0.947976	 signal transduction
gi|379080848|gb|JR978517.1| 	 0.947976	 stress response
gi|379080852|gb|JR978521.1| 	 0.766419	 other biological processes
gi|379080853|gb|JR978522.1| 	 2.15707	 DNA metabolism
gi|379080859|gb|JR978528.1| 	 0.629425	 other biological processes
gi|379080866|gb|JR978535.1| 	 0.323255	 RNA metabolism
gi|379080866|gb|JR978535.1| 	 0.323255	 cell organization and biogenesis
gi|379080866|gb|JR978535.1| 	 0.323255	 death
gi|379080866|gb|JR978535.1| 	 0.323255	 developmental processes
gi|379080866|gb|JR978535.1| 	 0.323255	 other biological processes
gi|379080866|gb|JR978535.1| 	 0.323255	 signal transduction
gi|379080870|gb|JR978539.1| 	 1.07559	 RNA metabolism
gi|379080870|gb|JR978539.1| 	 1.07559	 other biological processes
gi|379080870|gb|JR978539.1| 	 1.07559	 protein metabolism
gi|379080870|gb|JR978539.1| 	 1.07559	 transport
gi|379080872|gb|JR978541.1| 	 0.229479	 other biological processes
gi|379080872|gb|JR978541.1| 	 0.229479	 other metabolic processes
gi|379080873|gb|JR978542.1| 	 0.861453	 transport
gi|379080876|gb|JR978545.1| 	 0.0644174	 other metabolic processes
gi|379080877|gb|JR978546.1| 	 0.487107	 cell organization and biogenesis
gi|379080877|gb|JR978546.1| 	 0.487107	 death
gi|379080877|gb|JR978546.1| 	 0.487107	 developmental processes
gi|379080877|gb|JR978546.1| 	 0.487107	 other biological processes
gi|379080877|gb|JR978546.1| 	 0.487107	 protein metabolism
gi|379080877|gb|JR978546.1| 	 0.487107	 signal transduction
gi|379080877|gb|JR978546.1| 	 0.487107	 stress response
gi|379080894|gb|JR978563.1| 	 0.0543255	 RNA metabolism
gi|379080921|gb|JR978590.1| 	 2.53062	 other biological processes
gi|379080922|gb|JR978591.1| 	 0.0363586	 developmental processes
gi|379080922|gb|JR978591.1| 	 0.0363586	 other biological processes
gi|379080922|gb|JR978591.1| 	 0.0363586	 transport
gi|379080928|gb|JR978597.1| 	 0.0678004	 developmental processes
gi|379080928|gb|JR978597.1| 	 0.0678004	 other biological processes
gi|379080930|gb|JR978599.1| 	 0.028165	 DNA metabolism
gi|379080931|gb|JR978600.1| 	 0.133322	 DNA metabolism
gi|379080931|gb|JR978600.1| 	 0.133322	 protein metabolism
gi|379080931|gb|JR978600.1| 	 0.133322	 stress response
gi|379080933|gb|JR978602.1| 	 0.224049	 RNA metabolism
gi|379080935|gb|JR978604.1| 	 0.484076	 RNA metabolism
gi|379080935|gb|JR978604.1| 	 0.484076	 developmental processes
gi|379080936|gb|JR978605.1| 	 0.420827	 cell cycle and proliferation
gi|379080936|gb|JR978605.1| 	 0.420827	 other biological processes
gi|379080936|gb|JR978605.1| 	 0.420827	 other metabolic processes
gi|379080936|gb|JR978605.1| 	 0.420827	 protein metabolism
gi|379080938|gb|JR978607.1| 	 0.649431	 other metabolic processes
gi|379080943|gb|JR978612.1| 	 0.610048	 cell-cell signaling
gi|379080943|gb|JR978612.1| 	 0.610048	 transport
gi|379080953|gb|JR978622.1| 	 4.84674	 cell adhesion
gi|379080954|gb|JR978623.1| 	 0.743264	 cell organization and biogenesis
gi|379080954|gb|JR978623.1| 	 0.743264	 protein metabolism
gi|379080955|gb|JR978624.1| 	 0.792499	 other biological processes
gi|379080961|gb|JR978630.1| 	 0.262556	 other biological processes
gi|379080961|gb|JR978630.1| 	 0.262556	 other metabolic processes
gi|379080961|gb|JR978630.1| 	 0.262556	 protein metabolism
gi|379080965|gb|JR978634.1| 	 0.444449	 DNA metabolism
gi|379080965|gb|JR978634.1| 	 0.444449	 other metabolic processes
gi|379080965|gb|JR978634.1| 	 0.444449	 stress response
gi|379080966|gb|JR978635.1| 	 1.90432	 cell adhesion
gi|379080966|gb|JR978635.1| 	 1.90432	 cell organization and biogenesis
gi|379080970|gb|JR978639.1| 	 0.519037	 RNA metabolism
gi|379080970|gb|JR978639.1| 	 0.519037	 cell organization and biogenesis
gi|379080970|gb|JR978639.1| 	 0.519037	 other biological processes
gi|379080970|gb|JR978639.1| 	 0.519037	 protein metabolism
gi|379080979|gb|JR978648.1| 	 0.896655	 other metabolic processes
gi|379080982|gb|JR978651.1| 	 0.227882	 protein metabolism
gi|379080987|gb|JR978656.1| 	 2.84165	 cell adhesion
